asset_id,event_id,source,url,local_path,width_x_height,credit,sha256
ast_0037,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhwesDAmNHny9c_58-blOIoy_UBRCrIDdMrHSXJ3vlcFUMUiCMF7mwyjW1GH9gs5LvXO6nIdcXxB5PdXbOelFbTi1diIyrShTqqg6iu5feOqqjICdP-C-Zg-PrKGqmfXT2hOyo0j6KC66jG/s0/creatividad-alusiva-al-fallecimiento-de-diego-armando-maradona--besoccer.png,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_24.png,0x0,fuit.gr,5df4715a4edabaf43e91aedb5731cd08b4f1d0a7d464d864fe939f725458cace
ast_0038,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEia2sO5lfY3AyXB6TAxyJXgVFs8KS910zUHyCukp2nZg-V5mLcOvOi1kUk9zkPFgImUmyT95-yrpTUb4_9TzBGW5NHNknH-t8Dl9sTx2UgyXZM47rkcMEVb5cQuxtBdjobZULz_v5D-Iy5L/s0/133783848_422498542222655_5829038956074375081_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_25.jpg,0x0,fuit.gr,159c8c114df98e2e44d63df4fa9d43ddaf86ca075bb7748d0b107a8fd15febe7
ast_0039,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEigJkZzDNvVXa-xkFhdZVa4TykBgjAdZS6IEPHSNuE2lUb0O9eWgbpwkRauwILh95wrQfvEDIUOrUrgEMtFZrdEzHndC9pgHRFEj_jkeRVWW1ILLERNyeiz7KqGGuI3p4pMU88aGdBAs7z4/s0/134331064_490024311982254_8701359846751990121_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_26.jpg,0x0,fuit.gr,3f142af342afddc4491c0a6aa1d1f70dd88fc1ab41b72784316ef8b787236f91
ast_0040,ev_004,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj4F78El6xtIr5yJKHIW9qaOmcmkxCRTBEpPK8Dlfk8KwKF2I-tBrSIBvhwSgfTwbVJtSKLKocRvVvBCx1-FKwf6U47YKfomMsb0XxRdim64mQX6LMpPoW7qS1o58V2srbh4OUtNozkJJk/s0/85b03b46122335.5607c397efb4c.jpg,,0x0,fuit.gr,
ast_0041,ev_004,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiTKualtLHg78fhWnaJZ7Vxc8_hSeCSMjH922f_z8U3DMSAZLtaaSZRKDbZFpKawGOJkRsiEZBRwA4RsBO_f5mKw1VsbmYMNOtKw3gYoXjIjLP50yFezQMJIT03Xl4YDarmQn1_JUEZLI0/s0/61136492_458184491607904_8570004217169707008_n.jpg,,0x0,fuit.gr,
ast_0042,ev_004,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg6TFN0NvN1SVM0cG2UccpFq30T7EapLVxJwAqwZenbXwEB29LZiU9GXIhYSUsv89uofilDzmAFxUgrDUfP3dHYgddIh6RrfYeJkVOfDyAjovhLNCM6TAKe6LZefHlxQHvI2hr2oDa-h5E/s0/85b03b46122335.5607c397efb4c.jpg,,0x0,fuit.gr,
ast_0043,ev_004,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiZxGxMLPivCSDZTb7SAnpE8CS0lVDSHkgzZMruZviA9Rw62kBAw8fFdsKJWlLoQz6WjW4HORFlG7LXGmOQNgnC2Y51_YVA_XCuCEo4CQWy9VGO5mzSypJnGgvL_z8epOoTlEv5zpJup90/s0/3dba6016467269.562ac48f4826f.jpg,,0x0,fuit.gr,
ast_0044,ev_004,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjVTlV133gDRCVMwtn0541dclQKw-xtbF_cXkwhBQlaaqAm1a7PtYpUx3DUqyRhxkbZVMx8-CNCE8sf3A1mFalXpbjdfsP90ukLDSHSe_gzIdM6FHkUP45fsxPV9nWCx0H5gT4AdCndXdk/s0/8cd10b46122333.5607c397e1a3a.jpg,,0x0,fuit.gr,
ast_0045,ev_004,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhJRCgNa_JNAnv2fkl9gY9o4orgqdKNi8vGgRsnpuC1DDJybiZ0NhfV0mkhIM0JVZm32Twcbt9BaTmcKOC2EuaBiEv2IajI3bgPLVtW-puBq1Jg19HAkGlin30zbLdrcxOL_gZZLIH_dGY/s0/60796121_622944618186243_974550194249007104_n.jpg,,0x0,fuit.gr,
ast_0046,ev_004,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEijePOkc7UcS-1h4kRyaTxvCVsKKkmfzgi0qkLJax8JQLZaP0cZBAQssNV7_dgxdtBftJHM6FM5YYkubS0_8bAv2T6KPGzib-P5hZi_-X9CoJfBttKNqlu1HCbm3Is1LNKG-moZVJh099E/s0/ac0c8616467269.562ac4fe0d53d.jpg,,0x0,fuit.gr,
